# Dependent Metric, Dependent-Upon
tomcat.processingTime,CPU.Used
tomcat.processingTime,tomcat.bytesSent
tomcat.processingTime,mysql.com_execute_sql
tomcat.bytesSent,CPU.Used
tomcat.maxThreads,Memory.Usage
tomcat.maxThreads,Network.Usage
tomcat.processingTime,tomcat.bytesSent
tomcat.processingTime,tomcat.maxThreads
tomcat.processingTime,tomcat.activeSessions
tomcat.processingTime,tomcat.requestCount
tomcat.processingTime,Vsphere.CPU.Usage
tomcat.processingTime,proc.net.bytes
tomcat.processingTime,iostat.disk.read_requests
tomcat.processingTime,iostat.disk.write_requests
tomcat.processingTime,proc.meminfo.active
tomcat.processingTime,proc.meminfo.memfree
tomcat.processingTime,mongo.extra_info.heap_usage_bytes
tomcat.processingTime,mongo.globalLock.currentQueue.readers
tomcat.processingTime,mongo.globalLock.currentQueue.writers
tomcat.processingTime,mongo.globalLock.totalTime
tomcat.processingTime,mongo.network.bytesIn
tomcat.processingTime,mongo.network.bytesOut
tomcat.processingTime,mongo.cursors.totalOpen
tomcat.processingTime,loadbalancer.ifInErrors
tomcat.processingTime,loadbalancer.ifOutOctets
tomcat.processingTime,loadbalancer.ifInOctets
tomcat.processingTime,loadbalancer.ifOutErrors
tomcat.processingTime,loadbalancer.ifOutQLen
tomcat.processingTime,mysql.com_execute_sql
tomcat.processingTime,mysql.bytes_received
tomcat.processingTime,mysql.connections_running
tomcat.processingTime,mysql.pct_innodb_buffer_pool_hit_ratio
tomcat.processingTime,mysql.pct_tmp_tables_written_to_disk
tomcat.processingTime,mysql.pct_connection_utilization
tomcat.processingTime,mysql.volume_reads
tomcat.processingTime,mysql.volume_writes
tomcat.processingTime,mysql.query_cache_misses
tomcat.sessionCreateRate,tomcat.currentThreadsBusy
tomcat.sessionCreateRate,tomcat.maxThreads
tomcat.sessionCreateRate,tomcat.HeapMemoryUsage
tomcat.sessionCreateRate,tomcat.activeSessions
tomcat.sessionCreateRate,tomcat.requestCount
tomcat.sessionCreateRate,Vsphere.CPU.Usage
tomcat.sessionCreateRate,proc.net.bytes
tomcat.sessionCreateRate,iostat.disk.read_requests
tomcat.sessionCreateRate,iostat.disk.write_requests
tomcat.sessionCreateRate,proc.meminfo.active
tomcat.sessionCreateRate,proc.meminfo.memfree
tomcat.sessionCreateRate,mongo.extra_info.heap_usage_bytes
tomcat.sessionCreateRate,mongo.globalLock.currentQueue.readers
